NAME,Geography,year,month,tot_evic
40143000015,Precinct,2021,4,4
40143000015,Precinct,2022,1,5
40143000015,Precinct,2022,2,5
40143000015,Precinct,2022,3,3
40143000015,Precinct,2022,4,2
40143000015,Precinct,2022,5,4
40143000015,Precinct,2022,6,5
40143000015,Precinct,2022,7,1
40143000015,Precinct,2022,8,4
40143000015,Precinct,2022,9,3
40143000015,Precinct,2022,10,5
40143000015,Precinct,2022,11,6
40143000015,Precinct,2022,12,3
40143000015,Precinct,2023,1,2
40143000015,Precinct,2023,2,2
40143000015,Precinct,2023,3,1
40143000016,Precinct,2019,1,1
40143000016,Precinct,2019,2,1
40143000016,Precinct,2019,3,1
40143000016,Precinct,2019,7,2
40143000016,Precinct,2019,8,2
40143000016,Precinct,2020,1,1
40143000016,Precinct,2020,2,1
40143000016,Precinct,2020,3,2
40143000016,Precinct,2020,4,1
40143000016,Precinct,2020,6,2
40143000016,Precinct,2020,7,3
40143000016,Precinct,2020,8,2
40143000016,Precinct,2020,11,2
40143000016,Precinct,2021,1,5
40143000016,Precinct,2021,2,2
40143000016,Precinct,2021,3,4
40143000016,Precinct,2021,4,1
40143000016,Precinct,2022,2,1
40143000016,Precinct,2022,4,1
40143000016,Precinct,2022,5,1
40143000016,Precinct,2022,6,5
40143000016,Precinct,2022,7,3
40143000016,Precinct,2022,8,1
40143000016,Precinct,2022,9,3
40143000016,Precinct,2022,11,1
40143000016,Precinct,2023,1,1
40143000016,Precinct,2023,3,1
40143000016,Precinct,2023,4,1
40143000017,Precinct,2018,3,1
40143000017,Precinct,2018,8,1
40143000017,Precinct,2018,12,2
40143000017,Precinct,2019,1,2
40143000017,Precinct,2019,2,1
40143000017,Precinct,2019,3,1
40143000017,Precinct,2019,4,1
40143000017,Precinct,2019,5,2
40143000017,Precinct,2019,6,2
40143000017,Precinct,2019,9,2
40143000017,Precinct,2019,10,1
40143000017,Precinct,2019,11,1
40143000017,Precinct,2020,2,3
40143000017,Precinct,2020,3,3
40143000017,Precinct,2020,6,2
40143000017,Precinct,2020,7,6
40143000017,Precinct,2020,8,2
40143000017,Precinct,2020,9,6
40143000017,Precinct,2020,10,3
40143000017,Precinct,2020,11,1
40143000017,Precinct,2020,12,2
40143000017,Precinct,2021,1,2
40143000017,Precinct,2021,2,2
40143000017,Precinct,2021,3,1
40143000017,Precinct,2021,4,2
40143000017,Precinct,2022,1,5
40143000017,Precinct,2022,2,3
40143000017,Precinct,2022,3,1
40143000017,Precinct,2022,4,1
40143000017,Precinct,2022,5,4
40143000017,Precinct,2022,6,3
40143000017,Precinct,2022,7,9
40143000017,Precinct,2022,8,6
40143000017,Precinct,2022,9,9
40143000017,Precinct,2022,10,3
40143000017,Precinct,2022,11,3
40143000017,Precinct,2022,12,7
40143000017,Precinct,2023,1,2
40143000017,Precinct,2023,2,5
40143000017,Precinct,2023,3,3
40143000017,Precinct,2023,4,2
40143000018,Precinct,2018,3,2
40143000018,Precinct,2018,7,6
40143000018,Precinct,2018,8,2
40143000018,Precinct,2018,10,1
40143000018,Precinct,2018,11,1
40143000018,Precinct,2019,1,7
40143000018,Precinct,2019,2,5
40143000018,Precinct,2019,3,6
40143000018,Precinct,2019,4,3
40143000018,Precinct,2019,5,4
40143000018,Precinct,2019,6,5
40143000018,Precinct,2019,7,6
40143000018,Precinct,2019,8,3
40143000018,Precinct,2019,9,3
40143000018,Precinct,2019,10,2
40143000018,Precinct,2019,12,1
40143000018,Precinct,2020,1,5
40143000018,Precinct,2020,2,5
40143000018,Precinct,2020,3,3
40143000018,Precinct,2020,4,1
40143000018,Precinct,2020,5,4
40143000018,Precinct,2020,6,11
40143000018,Precinct,2020,7,7
40143000018,Precinct,2020,8,8
40143000018,Precinct,2020,9,5
40143000018,Precinct,2020,10,3
40143000018,Precinct,2020,11,4
40143000018,Precinct,2020,12,7
40143000018,Precinct,2021,1,7
40143000018,Precinct,2021,2,4
40143000018,Precinct,2021,3,4
40143000018,Precinct,2021,4,5
40143000018,Precinct,2021,5,1
40143000018,Precinct,2022,1,3
40143000018,Precinct,2022,2,3
40143000018,Precinct,2022,3,2
40143000018,Precinct,2022,4,6
40143000018,Precinct,2022,5,9
40143000018,Precinct,2022,6,5
40143000018,Precinct,2022,7,13
40143000018,Precinct,2022,8,10
40143000018,Precinct,2022,9,6
40143000018,Precinct,2022,10,5
40143000018,Precinct,2022,11,6
40143000018,Precinct,2022,12,6
40143000018,Precinct,2023,1,9
40143000018,Precinct,2023,3,7
40143000018,Precinct,2023,4,3
40143000019,Precinct,2019,1,1
40143000019,Precinct,2019,4,2
40143000019,Precinct,2019,5,2
40143000019,Precinct,2019,7,1
40143000019,Precinct,2020,1,4
40143000019,Precinct,2020,2,4
40143000019,Precinct,2020,5,4
40143000019,Precinct,2020,7,5
40143000019,Precinct,2020,8,2
40143000019,Precinct,2020,9,2
40143000019,Precinct,2020,10,1
40143000019,Precinct,2020,11,1
40143000019,Precinct,2021,3,1
40143000019,Precinct,2021,4,4
40143000019,Precinct,2022,1,4
40143000019,Precinct,2022,2,1
40143000019,Precinct,2022,3,2
40143000019,Precinct,2022,4,7
40143000019,Precinct,2022,5,4
40143000019,Precinct,2022,6,4
40143000019,Precinct,2022,7,3
40143000019,Precinct,2022,8,3
40143000019,Precinct,2022,9,4
40143000019,Precinct,2022,10,2
40143000019,Precinct,2022,11,1
40143000019,Precinct,2022,12,6
40143000019,Precinct,2023,1,8
40143000019,Precinct,2023,2,1
40143000019,Precinct,2023,3,4
40143000019,Precinct,2023,4,1
40143000020,Precinct,2019,1,2
40143000020,Precinct,2019,2,3
40143000020,Precinct,2019,3,1
40143000020,Precinct,2019,4,3
40143000020,Precinct,2019,5,5
40143000020,Precinct,2019,6,1
40143000020,Precinct,2019,7,3
40143000020,Precinct,2019,8,3
40143000020,Precinct,2020,1,4
40143000020,Precinct,2020,2,5
40143000020,Precinct,2020,6,2
40143000020,Precinct,2020,7,3
40143000020,Precinct,2020,8,1
40143000020,Precinct,2020,10,4
40143000020,Precinct,2020,12,4
40143000020,Precinct,2021,1,5
40143000020,Precinct,2021,2,3
40143000020,Precinct,2021,3,4
40143000020,Precinct,2022,1,6
40143000020,Precinct,2022,2,5
40143000020,Precinct,2022,3,7
40143000020,Precinct,2022,5,4
40143000020,Precinct,2022,6,12
40143000020,Precinct,2022,7,9
40143000020,Precinct,2022,8,5
40143000020,Precinct,2022,9,1
40143000020,Precinct,2022,10,5
40143000020,Precinct,2022,11,8
40143000020,Precinct,2022,12,2
40143000020,Precinct,2023,1,1
40143000020,Precinct,2023,2,2
40143000020,Precinct,2023,3,1
40143000021,Precinct,2022,8,2
40143000022,Precinct,2019,1,1
40143000022,Precinct,2019,2,1
40143000022,Precinct,2019,5,2
40143000022,Precinct,2019,7,5
40143000022,Precinct,2020,1,3
40143000022,Precinct,2020,2,2
40143000022,Precinct,2020,3,1
40143000022,Precinct,2020,5,3
40143000022,Precinct,2020,7,1
40143000022,Precinct,2020,8,1
40143000022,Precinct,2020,10,5
40143000022,Precinct,2020,12,3
40143000022,Precinct,2021,1,2
40143000022,Precinct,2021,3,3
40143000022,Precinct,2021,4,1
40143000022,Precinct,2022,3,7
40143000022,Precinct,2022,4,2
40143000022,Precinct,2022,6,1
40143000022,Precinct,2022,7,2
40143000022,Precinct,2022,9,1
40143000022,Precinct,2022,10,1
40143000022,Precinct,2022,11,6
40143000022,Precinct,2022,12,3
40143000022,Precinct,2023,1,2
40143000022,Precinct,2023,2,4
40143000022,Precinct,2023,3,8
40143000022,Precinct,2023,4,1
40143000023,Precinct,2018,1,3
40143000023,Precinct,2018,3,2
40143000023,Precinct,2018,5,7
40143000023,Precinct,2018,6,9
40143000023,Precinct,2018,10,1
40143000023,Precinct,2018,11,1
40143000023,Precinct,2018,12,1
40143000023,Precinct,2019,2,1
40143000023,Precinct,2019,3,5
40143000023,Precinct,2019,4,2
40143000023,Precinct,2019,5,1
40143000023,Precinct,2019,7,3
40143000023,Precinct,2019,9,5
40143000023,Precinct,2019,12,6
40143000023,Precinct,2020,1,15
40143000023,Precinct,2020,6,16
40143000023,Precinct,2020,7,1
40143000023,Precinct,2020,8,2
40143000023,Precinct,2020,10,17
40143000023,Precinct,2020,11,2
40143000023,Precinct,2020,12,1
40143000023,Precinct,2021,1,7
40143000023,Precinct,2021,5,8
40143000023,Precinct,2022,1,9
40143000023,Precinct,2022,2,1
40143000023,Precinct,2022,3,4
40143000023,Precinct,2022,4,6
